risk_aversion_a,profile_label,expected_return,variance,risk,utility
1.000000,Aggressive Growth,0.292067,0.112593,0.335549,0.235771
1.050000,Aggressive Growth,0.292067,0.112593,0.335549,0.232956
1.100000,Aggressive Growth,0.292067,0.112593,0.335549,0.230141
1.150000,Aggressive Growth,0.292067,0.112593,0.335549,0.227326
1.200000,Aggressive Growth,0.292067,0.112593,0.335549,0.224511
1.250000,Aggressive Growth,0.292067,0.112593,0.335549,0.221696
1.300000,Aggressive Growth,0.292067,0.112593,0.335549,0.218882
1.350000,Aggressive Growth,0.292067,0.112593,0.335549,0.216067
1.400000,Aggressive Growth,0.291106,0.111214,0.333488,0.213256
1.450000,Aggressive Growth,0.287008,0.105461,0.324747,0.210549
1.500000,Aggressive Growth,0.283183,0.100273,0.316659,0.207978
1.550000,Aggressive Growth,0.279604,0.095579,0.309158,0.205531
1.600000,Aggressive Growth,0.276250,0.091318,0.302188,0.203195
1.650000,Aggressive Growth,0.273098,0.087438,0.295700,0.200962
1.700000,Aggressive Growth,0.270133,0.083896,0.289648,0.198821
1.750000,Aggressive Growth,0.267336,0.080653,0.283995,0.196764
1.800000,Aggressive Growth,0.264695,0.077677,0.278706,0.194786
1.850000,Aggressive Growth,0.262197,0.074938,0.273749,0.192879
1.900000,Aggressive Growth,0.259830,0.072413,0.269097,0.191037
1.950000,Aggressive Growth,0.257584,0.070080,0.264726,0.189256
2.000000,Aggressive Growth,0.255451,0.067919,0.260614,0.187532
2.050000,Aggressive Growth,0.253422,0.065915,0.256739,0.185859
2.100000,Aggressive Growth,0.251490,0.064052,0.253085,0.184235
2.150000,Aggressive Growth,0.249647,0.062318,0.249635,0.182655
2.200000,Aggressive Growth,0.247888,0.060700,0.246374,0.181118
2.250000,Aggressive Growth,0.246213,0.059194,0.243298,0.179620
2.300000,Aggressive Growth,0.244600,0.057776,0.240366,0.178158
2.350000,Aggressive Growth,0.243061,0.056452,0.237595,0.176730
2.400000,Aggressive Growth,0.241585,0.055209,0.234966,0.175334
2.450000,Aggressive Growth,0.240171,0.054042,0.232470,0.173969
2.500000,Aggressive Growth,0.238812,0.052944,0.230097,0.172632
2.550000,Aggressive Growth,0.237507,0.051911,0.227839,0.171321
2.600000,Aggressive Growth,0.236253,0.050936,0.225690,0.170036
2.650000,Aggressive Growth,0.235045,0.050016,0.223642,0.168774
2.700000,Aggressive Growth,0.233882,0.049147,0.221690,0.167534
2.750000,Aggressive Growth,0.232762,0.048324,0.219827,0.166316
2.800000,Aggressive Growth,0.231681,0.047545,0.218049,0.165118
2.850000,Aggressive Growth,0.230639,0.046807,0.216350,0.163939
2.900000,Aggressive Growth,0.229632,0.046107,0.214725,0.162777
2.950000,Aggressive Growth,0.228660,0.045442,0.213171,0.161633
3.000000,Moderate Growth,0.227720,0.044810,0.211684,0.160505
3.050000,Moderate Growth,0.226811,0.044209,0.210259,0.159392
3.100000,Moderate Growth,0.225931,0.043636,0.208893,0.158294
3.150000,Moderate Growth,0.225079,0.043091,0.207584,0.157210
3.200000,Moderate Growth,0.224253,0.042571,0.206328,0.156139
3.250000,Moderate Growth,0.223453,0.042075,0.205122,0.155081
3.300000,Moderate Growth,0.222678,0.041601,0.203964,0.154035
3.350000,Moderate Growth,0.221925,0.041149,0.202851,0.153001
3.400000,Moderate Growth,0.221195,0.040716,0.201782,0.151978
3.450000,Moderate Growth,0.220485,0.040302,0.200753,0.150965
3.500000,Moderate Growth,0.219796,0.039905,0.199762,0.149963
3.550000,Moderate Growth,0.219127,0.039525,0.198809,0.148970
3.600000,Moderate Growth,0.218476,0.039161,0.197891,0.147986
3.650000,Moderate Growth,0.217843,0.038812,0.197007,0.147012
3.700000,Moderate Growth,0.217227,0.038476,0.196154,0.146046
3.750000,Moderate Growth,0.216627,0.038154,0.195331,0.145088
3.800000,Moderate Growth,0.216043,0.037845,0.194538,0.144138
3.850000,Moderate Growth,0.215475,0.037548,0.193772,0.143195
3.900000,Moderate Growth,0.214921,0.037262,0.193033,0.142260
3.950000,Moderate Growth,0.214381,0.036987,0.192319,0.141332
4.000000,Moderate Growth,0.213854,0.036722,0.191629,0.140411
4.050000,Moderate Growth,0.213340,0.036466,0.190962,0.139496
4.100000,Moderate Growth,0.212839,0.036220,0.190317,0.138587
4.150000,Moderate Growth,0.212351,0.035983,0.189693,0.137685
4.200000,Moderate Growth,0.211873,0.035755,0.189089,0.136788
4.250000,Moderate Growth,0.211407,0.035534,0.188505,0.135897
4.300000,Moderate Growth,0.210952,0.035321,0.187939,0.135011
4.350000,Moderate Growth,0.210507,0.035115,0.187391,0.134131
4.400000,Moderate Growth,0.210072,0.034917,0.186860,0.133256
4.450000,Moderate Growth,0.209162,0.034506,0.185757,0.132387
4.500000,Moderate Growth,0.207850,0.033919,0.184172,0.131531
4.550000,Moderate Growth,0.206563,0.033351,0.182621,0.130691
4.600000,Moderate Growth,0.205309,0.032802,0.181114,0.129864
4.650000,Moderate Growth,0.204081,0.032271,0.179642,0.129050
4.700000,Moderate Growth,0.202882,0.031758,0.178209,0.128250
4.750000,Moderate Growth,0.201698,0.031257,0.176797,0.127462
4.800000,Moderate Growth,0.200545,0.030774,0.175426,0.126687
4.850000,Moderate Growth,0.199416,0.030306,0.174087,0.125924
4.900000,Moderate Growth,0.198310,0.029853,0.172779,0.125172
4.950000,Moderate Growth,0.197233,0.029415,0.171508,0.124431
5.000000,Moderately Conservative,0.196165,0.028986,0.170252,0.123701
5.050000,Moderately Conservative,0.195124,0.028571,0.169031,0.122982
5.100000,Moderately Conservative,0.194104,0.028169,0.167837,0.122272
5.150000,Moderately Conservative,0.193104,0.027779,0.166671,0.121573
5.200000,Moderately Conservative,0.192125,0.027400,0.165531,0.120883
5.250000,Moderately Conservative,0.191162,0.027032,0.164414,0.120203
5.300000,Moderately Conservative,0.190214,0.026673,0.163318,0.119532
5.350000,Moderately Conservative,0.189289,0.026325,0.162250,0.118869
5.400000,Moderately Conservative,0.188379,0.025987,0.161204,0.118215
5.450000,Moderately Conservative,0.187485,0.025657,0.160178,0.117570
5.500000,Moderately Conservative,0.186608,0.025337,0.159175,0.116932
5.550000,Moderately Conservative,0.185748,0.025025,0.158193,0.116303
5.600000,Moderately Conservative,0.184902,0.024722,0.157231,0.115681
5.650000,Moderately Conservative,0.184071,0.024426,0.156289,0.115067
5.700000,Moderately Conservative,0.183255,0.024139,0.155367,0.114460
5.750000,Moderately Conservative,0.182453,0.023859,0.154462,0.113860
5.800000,Moderately Conservative,0.181665,0.023586,0.153576,0.113267
5.850000,Moderately Conservative,0.180887,0.023319,0.152704,0.112680
5.900000,Moderately Conservative,0.180129,0.023060,0.151856,0.112101
5.950000,Moderately Conservative,0.179382,0.022808,0.151024,0.111527
6.000000,Moderately Conservative,0.178644,0.022561,0.150204,0.110960
6.050000,Moderately Conservative,0.177921,0.022321,0.149402,0.110399
6.100000,Moderately Conservative,0.177210,0.022087,0.148618,0.109844
6.150000,Moderately Conservative,0.176511,0.021859,0.147848,0.109295
6.200000,Moderately Conservative,0.175823,0.021636,0.147092,0.108751
6.250000,Moderately Conservative,0.175144,0.021418,0.146349,0.108213
6.300000,Moderately Conservative,0.174477,0.021205,0.145620,0.107680
6.350000,Moderately Conservative,0.173816,0.020996,0.144901,0.107153
6.400000,Moderately Conservative,0.173169,0.020793,0.144199,0.106631
6.450000,Moderately Conservative,0.172532,0.020595,0.143510,0.106113
6.500000,Moderately Conservative,0.171907,0.020402,0.142835,0.105601
6.550000,Moderately Conservative,0.171290,0.020213,0.142171,0.105093
6.600000,Moderately Conservative,0.170682,0.020028,0.141520,0.104590
