Fund,Weight
Nikko STI ETF,0.02335899214356614
Lion-OCBC HSTECH ETF,-0.0010747509854075019
ABF SG Bond,-0.07534264757044322
Fidelity Global Tech,-0.0026250945183585546
PIMCO Income SGD-H,-0.0953260154103733
JPM US Tech SGD,-0.0007104966796865653
Schroder Asian Growth,-0.015557878927097587
BlackRock World Gold,-0.0015951478546222502
Franklin India SGD,0.006089046114857201
United SGD Fund,1.1627839936875657
