target_return,return,risk
0.029037,0.029037,0.010553
0.030359,0.030359,0.011164
0.031681,0.031681,0.011933
0.033003,0.033003,0.012802
0.034324,0.034324,0.013746
0.035646,0.035646,0.014742
0.036968,0.036968,0.015772
0.038290,0.038290,0.016831
0.039611,0.039611,0.017913
0.040933,0.040933,0.019018
0.042255,0.042255,0.020139
0.043577,0.043577,0.021275
0.044899,0.044899,0.022424
0.046220,0.046220,0.023584
0.047542,0.047542,0.024753
0.048864,0.048864,0.025930
0.050186,0.050186,0.027114
0.051507,0.051507,0.028304
0.052829,0.052829,0.029499
0.054151,0.054151,0.030699
0.055473,0.055473,0.031904
0.056794,0.056794,0.033111
0.058116,0.058116,0.034323
0.059438,0.059438,0.035537
0.060760,0.060760,0.036754
0.062081,0.062081,0.037973
0.063403,0.063403,0.039195
0.064725,0.064725,0.040419
0.066047,0.066047,0.041644
0.067368,0.067368,0.042871
0.068690,0.068690,0.044100
0.070012,0.070012,0.045330
0.071334,0.071334,0.046561
0.072655,0.072655,0.047794
0.073977,0.073977,0.049028
0.075299,0.075299,0.050262
0.076621,0.076621,0.051498
0.077942,0.077942,0.052735
0.079264,0.079264,0.053972
0.080586,0.080586,0.055210
0.081908,0.081908,0.056449
0.083229,0.083229,0.057688
0.084551,0.084551,0.058929
0.085873,0.085873,0.060169
0.087195,0.087195,0.061411
0.088516,0.088516,0.062653
0.089838,0.089838,0.063895
0.091160,0.091160,0.065138
0.092482,0.092482,0.066381
0.093803,0.093803,0.067624
0.095125,0.095125,0.068869
0.096447,0.096447,0.070113
0.097769,0.097769,0.071358
0.099090,0.099090,0.072603
0.100412,0.100412,0.073848
0.101734,0.101734,0.075094
0.103056,0.103056,0.076340
0.104378,0.104378,0.077586
0.105699,0.105699,0.078833
0.107021,0.107021,0.080079
0.108343,0.108343,0.081326
0.109665,0.109665,0.082574
0.110986,0.110986,0.083821
0.112308,0.112308,0.085069
0.113630,0.113630,0.086316
0.114952,0.114952,0.087564
0.116273,0.116273,0.088813
0.117595,0.117595,0.090061
0.118917,0.118917,0.091310
0.120239,0.120239,0.092558
0.121560,0.121560,0.093807
0.122882,0.122882,0.095056
0.124204,0.124204,0.096305
0.125526,0.125526,0.097554
0.126847,0.126847,0.098804
0.128169,0.128169,0.100053
0.129491,0.129491,0.101303
0.130813,0.130813,0.102553
0.132134,0.132134,0.103803
0.133456,0.133456,0.105053
0.134778,0.134778,0.106303
0.136100,0.136100,0.107553
0.137421,0.137421,0.108803
0.138743,0.138743,0.110054
0.140065,0.140065,0.111304
0.141387,0.141387,0.112555
0.142708,0.142708,0.113805
0.144030,0.144030,0.115056
0.145352,0.145352,0.116307
0.146674,0.146674,0.117558
0.147995,0.147995,0.118809
0.149317,0.149317,0.120060
0.150639,0.150639,0.121311
0.151961,0.151961,0.122562
0.153282,0.153282,0.123819
0.154604,0.154604,0.125090
0.155926,0.155926,0.126375
0.157248,0.157248,0.127672
0.158570,0.158570,0.128983
0.159891,0.159891,0.130305
0.161213,0.161213,0.131640
0.162535,0.162535,0.132986
0.163857,0.163857,0.134343
