,monthly_average_return
Nikko STI ETF,0.007851349845627813
Lion-OCBC HSTECH ETF,0.00596977962353525
ABF SG Bond,0.0008601653263672696
Fidelity Global Tech,0.012964124295244232
PIMCO Income SGD-H,-0.0028031322085976507
JPM US Tech SGD,0.010148367298455127
Schroder Asian Growth,0.002817791457888535
BlackRock World Gold,0.02433890668919686
Franklin India SGD,0.002800173460461237
United SGD Fund,0.00241978565329107
