,annualized_average_return
Nikko STI ETF,0.09421619814753376
Lion-OCBC HSTECH ETF,0.071637355482423
ABF SG Bond,0.010321983916407235
Fidelity Global Tech,0.1555694915429308
PIMCO Income SGD-H,-0.03363758650317181
JPM US Tech SGD,0.12178040758146153
Schroder Asian Growth,0.03381349749466242
BlackRock World Gold,0.2920668802703623
Franklin India SGD,0.033602081525534844
United SGD Fund,0.02903742783949284
