risk_aversion_a,profile_label,expected_return,variance,risk,utility
1.0,Aggressive Growth,17.70011715490434,17.663136445219408,4.2027534361677,8.868548932294637
1.05,Aggressive Growth,16.859024379113276,16.021002356750714,4.00262443363735,8.44799814181915
1.1,Aggressive Growth,16.094378678691626,14.597635551473124,3.8206852201500614,8.065679125381408
1.15,Aggressive Growth,15.396241397150533,13.35588916056205,3.654570995419579,7.716605129827355
1.2,Aggressive Growth,14.756247256677542,12.266044548515094,3.502291328332795,7.396620527568485
1.25,Aggressive Growth,14.167501458469932,11.304426987289224,3.3622056729607164,7.102234591414167
1.3,Aggressive Growth,13.624022723972633,10.451583222845203,3.2328908461074284,6.830493629123251
1.35,Aggressive Growth,13.120807296187074,9.691741872205549,3.11315625566812,6.578881532448328
1.4,Aggressive Growth,12.653515237508252,9.011819428886723,3.001969258484624,6.345241637287546
1.45,Aggressive Growth,12.218485778299529,8.401063486889576,2.898458812350035,6.127714750304587
1.5,Aggressive Growth,11.812396757680013,7.850276249286452,2.8018344435898515,5.924689570715174
1.55,Aggressive Growth,11.432563082520886,7.352000483857083,2.711457262037719,5.7347627075316465
1.6,Aggressive Growth,11.076458293969704,6.8996901255766065,2.6267261230620536,5.556706193508418
1.65,Aggressive Growth,10.741925308424603,6.487859881680421,2.547127770976639,5.389440906038256
1.7,Aggressive Growth,10.427078350429067,6.11183961455553,2.4722135050507936,5.232014678056867
1.75,Aggressive Growth,10.130234449485073,5.767600328997033,2.401582879893391,5.083584161612669
1.8,Aggressive Growth,9.849862639523622,5.451625472706308,2.3348716180351987,4.943399714087945
1.85,Aggressive Growth,9.584642675753722,5.160918854557357,2.2717655808989967,4.8107927352881665
1.9,Aggressive Growth,9.333401103918238,4.892880105183095,2.211985557182301,4.685165003994298
1.95,Aggressive Growth,9.095024641049216,4.645174344633317,2.155266652791092,4.5659796550317315
2.0,Aggressive Growth,8.868573873078294,4.415820363367789,2.101385343854808,4.452753509710504
2.05,Aggressive Growth,8.653173404360176,4.203046707922547,2.0501333390593275,4.345050528739566
2.1,Aggressive Growth,8.448020790954747,4.005280562448852,2.001319705206755,4.242476200383452
2.15,Aggressive Growth,8.25242075834435,3.821160973643761,1.954779008901968,4.144672711677307
2.2,Aggressive Growth,8.06571015316461,3.649450340982869,1.91035345969872,4.051314778083453
2.25,Aggressive Growth,7.887291195549334,3.4890534811308123,1.867900822080983,3.9621060292771704
2.3,Aggressive Growth,7.716633440607204,3.3390065864087752,1.8272948821711221,3.8767758662371126
2.35,Aggressive Growth,7.553244502476263,3.1984406662237395,1.7884184818503022,3.795076719663369
2.4,Aggressive Growth,7.396651115848327,3.0665578873457497,1.751159012581596,3.7167816510334273
2.45,Aggressive Growth,7.246457047132614,2.9426733058996337,1.715422194650528,3.641682247405562
